ID;var1;var2;var3;var4
ID1;a1;b1;c1;d1
ID2;a2;b2;c2;d2
ID3;a3;b3;c3;d3
ID4;a4;b4;c4;d4
ID5;a5;b5;c5;d5
ID6;a6;b6;c6;d6
ID7;a7;b7;c7;d7
ID8;a8;b8;c8;d8
ID9;a9;b9;c9;d9
ID10;a10;b10;c10;d10
ID11;a11;b11;c11;d11
ID12;a12;b12;c12;d12
ID13;a13;b13;c13;d13
ID14;a14;b14;c14;d14
ID15;a15;b15;c15;d15
ID16;a16;b16;c16;d16
ID17;a17;b17;c17;d17
ID18;a18;b18;c18;d18
ID19;a19;b19;c19;d19
ID20;a20;b20;c20;d20
ID21;a21;b21;c21;d21
ID22;a22;b22;c22;d22
ID23;a23;b23;c23;d23
ID24;a24;b24;c24;d24
ID25;a25;b25;c25;d25
ID26;a26;b26;c26;d26
ID27;a27;b27;c27;d27
ID28;a28;b28;c28;d28
ID29;a29;b29;c29;d29
ID30;a30;b30;c30;d30
ID31;a31;b31;c31;d31
ID32;a32;b32;c32;d32
ID33;a33;b33;c33;d33
ID34;a34;b34;c34;d34
ID35;a35;b35;c35;d35
ID36;a36;b36;c36;d36
ID37;a37;b37;c37;d37
ID38;a38;b38;c38;d38
ID39;a39;b39;c39;d39
ID40;a40;b40;c40;d40
